     No, No1, No2, No3, No4, No5, No6, No7
9006,2,4,22,31,35,9,12
9005,10,11,15,31,32,5,8
9004,1,3,22,32,35,6,10
9003,16,18,23,30,32,2,11
9002,1,4,7,12,30,5,10
9001,1,15,23,27,30,4,10
8154,5,7,10,29,32,4,6
8153,2,4,6,25,26,2,5
8152,3,5,14,20,33,7,11
8151,7,10,27,31,34,8,9
8150,1,9,10,15,25,3,8
8149,2,5,6,27,29,3,4
8148,3,7,20,33,35,4,7
8147,16,18,19,24,35,11,12
8146,9,23,24,26,33,7,12
8145,5,16,27,29,30,5,11
8144,10,19,27,28,33,5,12
8143,1,2,22,29,32,1,4
8142,6,18,21,30,35,8,9
8141,9,15,18,30,34,4,5
8140,2,9,11,29,32,8,9
8139,1,6,10,14,22,6,8
8138,4,5,18,22,35,7,8
8137,1,10,25,32,35,5,9
8136,3,28,29,32,34,1,6
8135,7,22,25,29,33,1,12
8134,11,13,15,28,35,8,10
8133,10,12,15,33,35,3,9
8132,6,14,24,27,29,5,9
8131,8,9,12,21,32,7,11
8130,3,5,22,29,34,7,12
8129,13,16,20,25,27,4,5
8128,12,15,23,24,25,10,11
8127,8,21,22,31,33,1,7
8126,9,29,32,34,35,1,8
8125,1,4,28,33,34,6,11
8124,2,10,13,29,33,6,10
8123,1,6,12,28,31,8,9
8122,3,6,12,20,29,9,12
8121,11,23,24,32,35,4,10
8120,21,23,24,25,32,3,4
8119,1,2,10,19,27,1,11
8118,6,9,19,25,30,6,12
8117,13,23,24,25,30,2,8
8116,6,8,15,24,31,1,3
8115,7,9,19,21,33,7,10
8114,2,3,22,27,31,6,7
8113,11,14,17,19,22,1,8
8112,4,18,26,32,33,5,8
8111,2,11,12,14,19,5,9
8110,5,16,25,27,33,4,9
8109,1,10,18,28,34,5,8
8108,11,16,24,29,32,9,11
8107,1,2,13,15,16,4,9
8106,3,5,21,28,33,2,6
8105,12,21,22,26,35,4,5
8104,7,8,10,24,34,8,11
8102,5,25,26,29,35,3,10
8101,10,13,23,31,33,4,11
8100,12,20,26,29,30,2,6
8098,7,10,22,27,33,4,8
8097,1,10,31,33,35,3,10
8096,6,7,12,25,28,2,12
8095,3,4,11,21,25,1,7
8094,7,12,19,27,34,11,12
8093,6,7,10,24,30,5,8
8092,3,23,26,32,34,4,9
8091,9,13,19,22,25,4,10
8090,4,11,18,33,34,2,6
8089,8,13,24,32,33,3,9
8088,7,11,19,27,31,2,3
8087,14,22,32,33,35,1,5
8086,1,6,10,22,35,3,7
8085,3,7,13,15,19,2,10
8084,2,17,20,22,25,5,11
8083,6,14,15,30,31,3,10
8082,15,19,29,33,35,1,2
8081,7,8,20,22,29,4,7
8080,6,9,29,31,33,5,11
8079,20,23,26,32,33,5,12
8078,8,17,20,28,31,7,11
8077,1,8,21,33,34,5,7
8076,3,5,10,27,34,1,12
8075,1,10,13,30,33,6,7
8074,10,13,22,31,35,4,12
8073,2,5,6,7,31,8,10
8072,10,25,32,33,34,3,9
8071,1,5,11,14,25,1,9
8070,9,17,18,21,31,1,5
8069,5,13,16,29,33,6,8
8068,6,9,11,33,34,6,10
8067,3,10,14,15,22,4,7
8066,2,7,21,22,25,4,12
8065,19,22,23,25,32,6,12
8064,14,18,24,27,31,6,7
8063,7,11,24,30,35,6,8
8062,1,15,27,28,29,3,10
8061,7,10,14,19,32,3,6
8060,3,13,17,23,30,1,11
8059,7,13,21,25,31,8,10
8058,3,9,11,29,33,3,12
8057,5,8,9,17,33,5,6
8056,15,19,25,30,31,3,9
8055,2,14,28,30,35,4,12
8054,5,14,23,31,35,2,6
8053,1,13,21,23,32,3,6
8052,3,18,19,30,35,5,9
8051,1,7,9,11,33,3,11
8050,1,5,11,26,27,3,7
8049,1,11,14,28,30,3,10
8048,1,13,22,25,27,2,10
8047,12,18,22,23,30,6,12
8046,11,25,26,27,35,7,8
8045,14,32,33,34,35,2,4
8044,2,21,23,27,32,10,11
8043,5,8,10,31,33,2,4
8042,5,10,13,32,35,4,5
8041,7,17,21,22,28,5,10
8040,4,8,19,22,29,8,11
8039,7,11,15,27,35,4,7
8038,12,13,19,32,33,2,10
8037,11,20,24,31,35,4,10
8036,9,19,22,30,32,1,10
8035,2,12,13,29,30,5,7
8034,6,7,18,34,35,5,10
8033,3,10,21,23,30,1,9
8032,3,9,19,27,33,9,10
8031,14,20,23,27,28,2,4
8030,3,21,23,26,35,5,8
8029,6,11,18,29,30,4,11
8028,3,11,17,19,26,7,12
8027,5,17,23,31,32,4,8
8026,1,21,22,24,25,8,10
8025,6,10,12,15,28,4,12
8024,8,12,17,20,30,1,2
8023,6,26,31,32,34,7,10
8022,9,12,13,25,31,8,10
8021,5,10,13,21,24,4,9
8020,4,5,15,17,33,4,8
8019,8,24,25,29,31,4,5
8018,3,6,7,11,30,2,3
8017,2,14,25,29,32,1,6
8016,8,10,11,17,19,6,9
8015,9,18,20,27,33,6,9
8014,4,7,10,28,34,1,6
8013,1,11,19,22,35,5,9
8012,2,10,29,32,35,2,3
8011,14,20,22,24,27,7,10
8010,6,23,24,27,29,6,8
8009,4,8,12,24,30,5,8
8008,2,6,8,17,32,8,9
8007,3,4,5,12,28,3,12
8006,10,12,26,29,34,5,7
8005,18,25,29,31,34,9,10
8004,9,22,24,31,33,8,9
8003,1,11,13,32,35,2,7
8002,1,12,24,31,32,10,12
8001,1,2,11,34,35,3,10
7890,8,13,24,30,32,8,10
7889,3,11,24,26,34,3,12
7888,11,12,17,18,19,2,7
7093,6,8,16,25,27,8,12
7092,6,19,27,28,29,6,10
7091,7,12,26,31,32,3,8
7090,4,20,24,31,33,9,12
7089,8,13,24,30,34,1,12
7088,17,18,21,23,33,6,10
7087,8,18,30,31,33,4,9
7086,14,18,19,26,28,3,9
7085,17,24,28,29,33,2,5
7084,5,11,18,29,34,10,11
7083,1,5,20,21,24,3,4
7082,3,5,14,33,34,7,8
7081,6,18,20,22,35,4,9
7080,1,15,20,25,27,5,10
7079,6,9,25,26,31,2,8
7078,9,12,14,22,23,1,2
7077,4,6,12,13,24,1,4
7076,2,9,12,15,31,9,10
7075,5,11,20,30,32,7,11
7074,16,17,23,24,31,5,10
7073,4,5,9,12,23,2,11
7072,21,24,26,27,33,1,5
7071,10,22,32,33,35,1,7
7070,7,26,29,30,35,3,4
7069,2,13,16,21,35,1,5
7068,4,9,13,14,33,6,10
7067,11,18,25,30,31,4,9
7066,4,7,8,19,24,7,12
7065,19,20,24,29,31,9,10
7064,2,16,32,33,35,5,10
7063,10,31,33,34,35,7,12
7062,1,4,10,14,29,11,12
7061,2,10,19,28,29,2,9
7060,12,13,29,30,31,4,7
7059,4,15,23,31,33,3,9
7058,8,21,25,28,33,2,6
7057,14,16,30,32,35,6,7
7056,4,11,17,20,21,5,9
7055,10,16,24,31,33,7,10
7054,4,10,19,29,34,3,6
7053,11,16,19,21,25,1,10
7052,1,14,29,32,33,5,10
7051,3,7,24,28,35,8,11
7050,13,21,22,30,35,1,11
7049,9,10,15,17,32,4,6
7048,8,25,26,29,35,6,8
7047,1,6,15,19,35,2,9
7046,4,16,18,23,30,1,10
7045,9,16,20,26,35,11,12
7044,4,5,7,12,26,1,10
7043,4,9,22,24,31,2,6
7042,7,10,22,31,35,5,6
7041,3,16,17,22,35,1,8
7040,5,21,25,28,35,1,4
7039,10,11,20,21,35,7,11
7038,6,21,25,27,32,8,9
7037,1,6,7,17,31,11,12
7036,15,18,21,27,34,1,2
7035,7,11,16,31,32,1,12
7034,6,8,11,13,22,2,11
7033,1,5,8,14,22,3,12
7032,1,13,21,23,32,4,11
7031,3,21,27,31,32,6,8
7030,11,14,27,33,35,2,7
7029,15,22,25,29,35,9,11
7028,20,26,30,34,35,3,10
7027,2,3,10,19,27,6,10
7026,5,9,13,33,35,1,8
7025,22,24,26,27,34,2,10
7024,6,16,20,25,31,4,9
7023,8,10,23,32,34,8,10
7022,8,10,12,23,25,3,10
7021,2,4,24,29,33,1,2
7020,2,6,11,12,18,5,12
7019,3,6,17,22,23,4,6
7018,3,4,16,23,28,6,9
7017,13,14,29,32,34,3,12
7016,1,14,19,24,31,3,12
7015,2,8,12,13,17,11,12
7014,1,2,7,29,32,6,7
7013,12,17,27,29,34,6,9
7012,3,12,15,29,34,7,11
7011,29,32,33,34,35,9,10
7010,6,8,18,29,34,9,11
7009,1,3,9,19,34,9,12
7008,2,8,11,21,23,4,7
7007,14,16,25,26,35,4,9
7006,1,16,20,23,28,3,6
7005,1,9,19,20,30,2,11
7004,6,10,16,17,25,2,4
7003,3,4,18,23,32,1,6
7002,15,22,31,34,35,5,12
7001,22,24,29,31,35,4,11
