     No, No1, No2, No3, No4, No5, No6, No7
13050,14,22,30,32,33,7,8
13049,18,22,25,31,32,4,6
13048,10,11,23,32,33,1,4
13047,12,20,28,30,35,3,11
13046,15,16,19,25,32,5,11
13045,8,11,12,21,25,2,7
13044,7,11,13,18,28,5,10
13043,7,13,25,34,35,7,9
13042,2,6,22,23,33,1,6
13041,3,13,14,15,34,5,8
13040,16,17,22,26,35,3,10
13039,6,23,30,33,35,7,10
13038,1,19,24,25,26,7,9
13037,2,26,31,32,34,6,8
13036,8,12,32,33,35,3,5
13035,5,14,28,32,34,7,8
13034,1,3,11,19,29,4,8
13033,12,18,22,28,31,1,11
13032,12,27,28,33,35,1,8
13031,12,17,18,26,32,10,11
13030,3,5,9,10,28,5,7
13029,5,7,17,25,26,4,10
13028,13,19,28,30,34,8,12
13027,3,12,14,24,35,3,8
13026,2,10,16,30,33,5,6
13025,3,23,25,26,28,10,12
13024,9,12,14,18,24,1,4
13023,5,19,24,26,35,5,7
13022,3,4,13,17,23,3,8
13021,23,24,28,30,33,1,11
13020,6,11,20,31,32,5,9
13019,6,12,17,29,30,7,11
13018,20,23,31,33,34,3,9
13017,11,14,22,29,34,5,11
13016,5,15,19,27,32,8,9
13015,14,15,26,32,33,1,11
13014,5,8,25,29,31,2,4
13013,13,15,29,30,35,1,11
13012,1,14,31,32,34,2,11
13011,1,2,8,15,23,6,9
13010,9,15,17,18,29,9,11
13009,10,17,19,27,29,5,12
13008,2,7,25,29,34,3,6
13007,14,29,32,33,34,3,6
13006,8,20,25,31,32,5,7
13005,18,22,26,28,31,10,12
13004,7,8,12,20,25,3,7
13003,1,16,18,21,31,9,12
13002,4,20,27,31,32,6,12
13001,6,9,11,31,32,5,11
12154,3,26,27,31,32,3,9
12153,8,9,10,13,22,5,10
12152,4,17,26,33,34,2,8
12151,3,19,20,24,33,3,4
12150,2,14,18,24,31,2,3
12149,2,10,23,33,34,5,10
12148,4,16,27,29,34,6,11
12147,2,3,17,19,33,2,9
12146,1,10,13,17,26,6,8
12145,5,22,31,33,35,6,9
12144,11,13,14,21,29,1,10
12143,9,27,29,30,31,3,6
12142,15,19,29,34,35,7,10
12141,3,11,19,23,34,2,12
12140,7,17,27,28,29,9,10
12139,9,10,12,22,25,4,11
12138,13,17,27,31,33,6,12
12137,3,12,20,21,27,1,6
12136,2,23,29,30,31,1,4
12135,3,5,17,18,33,6,7
12134,1,6,18,32,35,2,7
12133,5,7,13,29,30,1,5
12132,5,8,21,25,33,1,11
12131,2,16,18,27,30,8,12
12130,14,19,23,29,30,6,7
12129,1,7,21,28,31,3,9
12128,9,10,19,30,31,4,11
12127,12,13,14,25,35,10,12
12126,13,14,21,28,29,5,10
12125,6,14,17,22,35,1,2
12124,7,11,19,20,35,5,10
12123,5,8,18,30,33,1,9
12122,23,24,25,29,31,3,12
12121,7,18,20,29,30,5,6
12120,2,10,21,23,29,3,4
12119,5,6,9,19,32,6,9
12118,5,17,25,30,33,1,12
12117,1,12,18,21,33,7,8
12116,1,11,18,20,22,7,10
12115,1,6,13,19,23,6,9
12114,3,6,21,33,35,1,7
12113,3,10,22,27,29,3,12
12112,1,2,28,31,35,5,7
12111,1,24,25,30,33,4,11
12110,1,11,17,19,26,5,12
12109,1,22,30,32,35,9,11
12108,6,7,12,24,35,2,6
12107,4,7,9,22,33,1,3
12106,15,23,25,29,31,9,10
12105,5,6,14,15,31,6,8
12104,16,18,24,25,27,4,9
12103,2,9,18,23,24,1,4
12102,2,4,6,13,35,4,8
12101,2,5,8,9,31,3,7
12100,7,9,13,19,27,1,3
12099,12,18,24,25,32,2,12
12098,2,11,28,29,30,6,12
12097,9,17,24,29,32,1,2
